"Year","League","Date","Month","Home","Away","HomeGoals","AwayGoals","TotalGoals","odds1","oddsX","odds2","oddsOver2.5","oddsUnder2.5"
"1920","Germany1",2020-08-16,8,"Bayern Munich","Hertha",2,2,4,1.18,7.73,15.3,1.32,3.62
"1920","Germany1",2020-08-17,8,"Dortmund","Augsburg",5,1,6,1.16,6.76,13.52,1.33,3.5
"1920","Germany1",2020-08-17,8,"Freiburg","Mainz",3,0,3,2.74,3.45,3.44,1.98,1.92
"1920","Germany1",2020-08-17,8,"Leverkusen","Paderborn",3,2,5,1.27,6.07,10.57,1.3,3.73
"1920","Germany1",2020-08-17,8,"Werder Bremen","Fortuna Dusseldorf",1,3,4,1.7,4.05,4.68,1.68,2.3
"1920","Germany1",2020-08-17,8,"Wolfsburg","FC Koln",2,1,3,2.17,3.96,3.98,1.73,2.21
"1920","Germany1",2020-08-17,8,"M'gladbach","Schalke 04",0,0,0,2.31,3.51,3.76,1.9,2
"1920","Germany1",2020-08-18,8,"Ein Frankfurt","Hoffenheim",1,0,1,2.13,3.72,3.01,1.53,2.64
"1920","Germany1",2020-08-18,8,"Union Berlin","RB Leipzig",0,4,4,4.54,4.21,1.71,1.66,2.32
"1920","Germany1",2020-08-23,8,"FC Koln","Dortmund",1,3,4,6.21,4.79,1.5,1.45,2.9
"1920","Germany1",2020-08-24,8,"Augsburg","Union Berlin",1,1,2,2.5,3.34,3.37,1.86,2.04
"1920","Germany1",2020-08-24,8,"Fortuna Dusseldorf","Leverkusen",1,3,4,4.8,4.32,1.74,1.47,2.84
"1920","Germany1",2020-08-24,8,"Hoffenheim","Werder Bremen",3,2,5,2.15,4.09,3.88,1.57,2.51
"1920","Germany1",2020-08-24,8,"Mainz","M'gladbach",1,3,4,2.67,3.48,2.56,1.76,2.15
"1920","Germany1",2020-08-24,8,"Paderborn","Freiburg",1,3,4,2.37,3.7,2.95,1.52,2.67
"1920","Germany1",2020-08-24,8,"Schalke 04","Bayern Munich",0,3,3,10.41,5.05,1.39,1.49,2.76
